AUD/CAD,0.91968,0.92068,0.91968,0.92068
AUD/CHF,0.67456,0.67606,0.67456,0.67606
AUD/JPY,83.48831,83.56831,83.48831,83.56831
AUD/NZD,1.04022,1.04172,1.04022,1.04172
AUD/USD,0.73331,0.73363,0.73331,0.73363
BGN/RON,2.52721,2.53321,2.52721,2.53321
CAD/CHF,0.73348,0.73428,0.73348,0.73428
CAD/JPY,90.734,90.814,90.734,90.814
CHF/BGN,1.8549,1.8569,1.8549,1.8569
CHF/JPY,123.64966,123.72966,123.64966,123.72966
CHF/RON,4.68683,4.70483,4.68683,4.70483
CHF/TRY,10.83738,10.86538,10.83738,10.86538
EUR/AUD,1.56014,1.56094,1.56014,1.56094
EUR/CAD,1.43558,1.43638,1.43558,1.43638
EUR/CHF,1.0535,1.05418,1.0535,1.05418
EUR/CZK,25.21635,25.26635,25.21635,25.26635
EUR/DKK,7.4327,7.4407,7.4327,7.4407
EUR/GBP,0.85255,0.85315,0.85255,0.85315
EUR/HKD,8.91304,8.91804,8.91304,8.91804
EUR/HUF,366.982,367.382,366.982,367.382
EUR/ILS,3.54669,3.57169,3.54669,3.57169
EUR/JPY,130.329,130.369,130.329,130.369
EUR/MXN,23.49542,23.50542,23.49542,23.50542
EUR/NOK,9.94237,9.96037,9.94237,9.96037
EUR/NZD,1.62368,1.62528,1.62368,1.62528
EUR/PLN,4.63885,4.64385,4.63885,4.64385
EUR/RON,4.94365,4.95365,4.94365,4.95365
EUR/RUB,83.11296,83.71296,83.11296,83.71296
EUR/SEK,10.02849,10.03849,10.02849,10.03849
EUR/SGD,1.54699,1.54809,1.54699,1.54809
EUR/TRY,11.42312,11.44812,11.42312,11.44812
EUR/USD,1.14442,1.1448,1.14442,1.1448
EUR/ZAR,17.56357,17.58357,17.56357,17.58357
GBP/AUD,1.82935,1.83025,1.82935,1.83025
GBP/BGN,2.29229,2.29429,2.29229,2.29429
GBP/CAD,1.68325,1.68425,1.68325,1.68425
GBP/CHF,1.23517,1.23617,1.23517,1.23617
GBP/CZK,29.56648,29.62648,29.56648,29.62648
GBP/DKK,8.71483,8.72483,8.71483,8.72483
GBP/HKD,10.45032,10.45732,10.45032,10.45732
GBP/HUF,430.285,430.785,430.285,430.785
GBP/JPY,152.8,152.88,152.8,152.88
GBP/NOK,11.65837,11.67837,11.65837,11.67837
GBP/NZD,1.90402,1.90552,1.90402,1.90552
GBP/PLN,5.43916,5.44516,5.43916,5.44516
GBP/RON,5.78999,5.81499,5.78999,5.81499
GBP/SEK,11.75917,11.77017,11.75917,11.77017
GBP/SGD,1.81355,1.81555,1.81355,1.81555
GBP/TRY,13.39472,13.42272,13.39472,13.42272
GBP/USD,1.34176,1.34244,1.34176,1.34244
GBP/ZAR,20.5917,20.6197,20.5917,20.6197
HKD/JPY,14.61,14.63,14.61,14.63
NZD/CAD,0.88356,0.88436,0.88356,0.88436
NZD/CHF,0.64833,0.64913,0.64833,0.64913
NZD/JPY,80.201,80.281,80.201,80.281
NZD/USD,0.70445,0.70475,0.70445,0.70475
SGD/HKD,5.75812,5.76412,5.75812,5.76412
SGD/JPY,84.18,84.28,84.18,84.28
TRY/BGN,0.16853,0.17353,0.16853,0.17353
TRY/JPY,11.224,11.574,11.224,11.574
TRY/RON,0.42825,0.43725,0.42825,0.43725
USD/BGN,1.70833,1.70913,1.70903,1.70843
USD/CAD,1.25426,1.25486,1.25426,1.25486
USD/CHF,0.92036,0.92104,0.92036,0.92104
USD/CZK,22.03485,22.06985,22.03485,22.06985
USD/DKK,6.49415,6.50015,6.49415,6.50015
USD/HKD,7.78665,7.79165,7.78665,7.79165
USD/HUF,320.592,320.992,320.592,320.992
USD/ILS,3.09702,3.12202,3.09702,3.12202
USD/JPY,113.862,113.9,113.862,113.9
USD/MXN,20.52638,20.53638,20.52638,20.53638
USD/NOK,8.68611,8.70211,8.68611,8.70211
USD/PLN,4.05296,4.05696,4.05296,4.05696
USD/RON,4.31844,4.32844,4.31844,4.32844
USD/RUB,72.6745,73.0745,72.6745,73.0745
USD/SEK,8.76136,8.77036,8.76136,8.77036
USD/SGD,1.35172,1.35232,1.35172,1.35232
USD/TRY,9.97834,10.00334,9.97834,10.00334
USD/ZAR,15.34582,15.36082,15.34582,15.36082
